question,answers,top_uris
What are some safety precautions for working with hydraulic tools?,"['M5200106-11.html', '30995350411.html', '17839532171.html', '0545-0110-0001.html']","['20190421899.html', '3881645067.html', '3889824139.html', '3889822347.html', '3881643275.html']"
"What are the different types of turbochargers and their corresponding diameter and slip factors for MAN Energy Solutions, Mitsubishi H.I. (MET), and ABB TPL?",['9199470987.html'],"['7231426315.html', '74673035659.html', '56615688843.html', '7247523339.html', '7231417995.html']"
What are some possible causes and remedies for running difficulties in an engine?,['9360199563.html'],"['71018847499__en.html', '14774329867.html', '71018847499__en.html', '7417593483.html', '9422409355.html']"
What is the weight of the piston crown,['2265-0400-0039.html'],"['17668600971.html', '7714482315.html', '2245-0100-0005.html', '7714433035.html', '2265-0401-0011.html']"
What are the basic SI units for velocity and speed?,['11720159371.html'],"['12225122187.html', '20089325707.html', '17361826187.html', '6645-0250-0012.html', '16541855115.html']"
What are the basic SI units for velocity and speed?,['11720159371.html'],"['12225122187.html', '20089325707.html', '17361826187.html', '6645-0250-0012.html', '16541855115.html']"
What precautions should be taken when mounting hydraulic tools?,"['28630296331.html', '31526458507.html', '28545447947.html', '19823679243.html']","['3881645067.html', 'M5200106-11.html', '3889824139.html', '3889822347.html', '3881643275.html']"
What are the different conditions and issues that can be observed in a liner?,['2255-0150-0001.html'],"['7714370315.html', '2245-0100-0005.html', '7714349323.html', 'P50610-15.html', '7714370315.html']"
What are the steps for dismantling the cylinder lubricator?,['3065-0601-0014.html'],"['3065-0600-0006.html', '22977553035.html', '4555-0165-0002.html', '66934698891.html', '7714465419.html']"
"What is the quantity of pressure switches, nipples, and valves?",['4572-1260-0004.html'],"['9341711499.html', '71018847499__en.html', '6645-0140-0003.html', '71018847499__en.html', '7306061195.html']"
What are the load restrictions when one turbocharger is out of operation?,['6655-0220-0003.html'],"['6645-0320-0007.html', '15732272395.html', '15732247307.html', '15732394123.html', '60664468747.html']"
What is the procedure for shutting off the starting air supply at the starting air receiver?,"['7330601483.html', '7325261707.html', '7326907787.html', '6966154507.html']","['12038162571.html', '9665289611.html', '10777900171.html', '7171717259.html', '12205216523.html']"
What is the purpose of shutting off starting air?,['7535750539.html'],"['12038162571.html', '9665289611.html', '10777900171.html', '7171717259.html', '12205216523.html']"
What is the condition and valuation for the limit case of permanent breakage of the running surface?,['8481993867.html'],"['M5130130-04.html', 'M5060116-05.html', '30769591563.html', '8481934859.html', 'M5060116-05.html']"
What is the purpose of shutting off the control air supply?,['9651471627.html'],"['7466516875.html', '7462306699.html', '7437484427.html', '7101350155.html', '10777913483.html']"
What safety precautions should be followed when working on engine performance?,['M5020100-11.html'],"['8482607755.html', '9147916683.html', '9147837323.html', '6345-0300-0002.html', '6340-0100-0002.html']"
"No automatic scavenging air control, what can be cause?","['SCU1-1691.html', '9491890059.html']","['71018847499__en.html', '71018847499__en.html', '7437484427.html', '10777913483.html', '71018847499__en.html']"
